scenarios,locs,techs,carriers,units,flow_out_sum,aliases
11,PRT,biofuel_supply,biofuel,kilogram,5032181344.510675,biofuel_supply__biofuel___PRT
11,PRT,biofuel_to_diesel,diesel,kilogram,109372661.17306711,biofuel_to_diesel__diesel___PRT
11,PRT,biofuel_to_methane,methane,cubic meter,245125385.3184618,biofuel_to_methane__methane___PRT
11,PRT,biofuel_to_methanol,methanol,kilogram,762248955.3847916,biofuel_to_methanol__methanol___PRT
11,PRT,ccgt,electricity,kilowatt hour,11309056.3783457,ccgt__electricity___PRT
11,PRT,chp_biofuel_extraction,electricity,kilowatt hour,152477374.3717387,chp_biofuel_extraction__electricity___PRT
11,PRT,chp_methane_extraction,electricity,kilowatt hour,58899099.471567996,chp_methane_extraction__electricity___PRT
11,PRT,chp_wte_back_pressure,electricity,kilowatt hour,579046668.1762083,chp_wte_back_pressure__electricity___PRT
11,ESP,el_import,electricity,kilowatt hour,13540998484.336338,el_import__electricity___ESP
11,PRT,existing_pv,electricity,kilowatt hour,1642996105.3455052,existing_pv__electricity___PRT
